"Time (ms)","Accelerometer X (mGal)","Accelerometer Y (mGal)","Accelerometer Z (mGal)","Gyro X","Gyro Y","Gyro Z","Magnetic X","Magnetic Y","Magnetic Z","Locomotion"
1708,"0.135498046875","0.70263671875","-0.768798828125","59.509273529052734","6.713866710662842","2.807616949081421","6","-21","-49","406"
1742,"0.16015625","0.744873046875","-0.756103515625","70.49560546875","5.859374523162842","-2.25830078125","6","-21","-49","406"
1776,"0.2000732421875","0.7728271484375","-0.739013671875","80.13916015625","5.615233898162842","-10.437010765075684","6","-21","-49","406"
1813,"0.274658203125","0.7435302734375","-0.677001953125","91.18651580810547","7.507323741912842","-23.925779342651367","10","-28","-45","406"
1847,"0.2940673828125","0.82958984375","-0.613525390625","83.19091033935547","6.164550304412842","-35.58349609375","10","-28","-45","406"
1881,"0.31591796875","0.7987060546875","-0.600341796875","80.81053924560547","7.385253429412842","-51.391597747802734","10","-28","-45","406"
1915,"0.2872314453125","0.7525634765625","-0.4776611328125","76.7822265625","-0.7324218153953552","-33.38623046875","16","-25","-42","406"
1949,"0.220458984375","0.71728515625","-0.4921875","60.058589935302734","-7.873534679412842","-17.51708984375","16","-25","-42","406"
1984,"0.15673828125","0.6788330078125","-0.38134765625","37.29248046875","-5.187987804412842","4.150390625","16","-25","-42","406"
2018,"0.0589599609375","0.7681884765625","-0.363525390625","8.4228515625","-3.845214605331421","16.29638671875","15","-30","-43","406"
2056,"0.0152587890625","0.7742919921875","-0.2822265625","34.72900390625","4.5166015625","32.8369140625","15","-30","-43","406"
2091,"-0.0718994140625","0.8382568359375","-0.3133544921875","50.964351654052734","1.03759765625","72.8759765625","19","-25","-41","406"
2127,"-0.0810546875","0.5770263671875","-0.2867431640625","75.8056640625","-10.437010765075684","109.43602752685547","19","-25","-41","406"
2162,"-0.291259765625","0.521240234375","-0.2738037109375","52.185054779052734","-13.793944358825684","85.93749237060547","19","-25","-41","406"
2200,"-0.3896484375","0.796875","-0.2740478515625","12.695311546325684","-15.502928733825684","80.56639862060547","27","-17","-42","406"
2236,"-0.4263916015625","0.7955322265625","-0.188232421875","81.48192596435547","-10.131834983825684","134.6435546875","27","-17","-42","406"
2270,"-0.4842529296875","0.622802734375","-0.1019287109375","105.10253143310547","-27.160642623901367","164.12351989746094","27","-17","-42","406"
2307,"-0.640380859375","0.615966796875","-0.16796875","95.33690643310547","-72.1435546875","140.80810546875","33","-16","-29","406"
2342,"-0.7554931640625","0.6732177734375","-0.17333984375","110.53466033935547","-86.12059783935547","137.63427734375","33","-16","-29","406"
2377,"-0.7574462890625","0.684814453125","-0.123046875","102.60009002685547","-83.67919158935547","141.2353515625","33","-16","-29","406"
2412,"-0.8194580078125","0.7601318359375","-0.1795654296875","110.77880096435547","-94.90966033935547","130.31005859375","41","-4","-22","406"
2447,"-0.808837890625","0.7437744140625","-0.2186279296875","126.22069549560547","-103.08837127685547","120.60546112060547","41","-4","-22","406"
2481,"-0.8544921875","0.76220703125","-0.2451171875","141.90673828125","-118.40819549560547","113.28124237060547","41","-4","-22","406"
2515,"-0.955078125","0.666748046875","-0.23291015625","134.70458984375","-108.27635955810547","101.44042205810547","41","1","-11","406"
2549,"-1.0203857421875","0.6900634765625","-0.1878662109375","102.29491424560547","-116.94335174560547","84.28954315185547","41","1","-11","406"
2583,"-0.9945068359375","0.74365234375","-0.157470703125","96.67967987060547","-122.92479705810547","76.416015625","41","1","-11","406"
2618,"-1.009033203125","0.7412109375","-0.1279296875","79.40673828125","-128.11279296875","63.781734466552734","35","12","-7","406"
2652,"-1.0228271484375","0.773193359375","-0.109375","69.27490234375","-133.36181640625","54.992671966552734","35","12","-7","406"
